TestName,Status,Value,DownLimit,UpLimit,TestTime
TSP,0,D10_QT0,,,
Script_Version,0,1.0,,,
Overlay_Version,0,1.0d66_EVT_63,,,
"START_TEST_QT0",0,"PASS",NA,NA,2.163039
"Check DUT Mode",0,"PASS",NA,NA,0.576514
"Write GMT Date and Time",0,"20160401060109",NA,NA,0.037146
"Battery Present",0,"3890.0000",3400,4350,0.036788
"Board ID",0,"D101",NA,NA,0.037914
"ECID",0,"0x0004706610E34126",NA,NA,0.073356
"Diag Version Check",0,"24C210af",NA,NA,0.047127
"Get Link Data via MLB SN From SFC",0,"PASS",NA,NA,0.154881
"SN",0,"C7CRH02FH7YL",NA,NA,0.004327
"PREVIOUS FG SN",0,"C7CRH02FH7YL",NA,NA,0.032741
"Burn SN",0,"C7CRH02FH7YL",NA,NA,0.037907
"Compare 80ISN With SFC",0,"C7CRH02FH7YL",NA,NA,0.025843
"Check UOP",0,"PASS",NA,NA,0.005590
"NetWork CB: Check Previous Station CBs",0,"Network CB Check Return No Need!",NA,NA,0.051613
"Slot",0,"4",NA,NA,0.002783
"Get Link Data via ISN From SFC",0,"PASS",NA,NA,0.359607
"Set COF Function",0,"PASS",NA,NA,0.043099
"Write CB Incomplete",0,"PASS",NA,NA,0.100080
"Provision Status",0,"Provisioned",NA,NA,0.164943
"Provision Data",0,"PASS",NA,NA,11.078839
"Tristar Provision",0,"5.EzLink_RecvData():Successs!",5.EzLink_RecvData():Successs!,5.EzLink_RecvData():Successs!,0.006474
"Tristar ESN",0,"9A52A701D281B101",NA,NA,0.488933
"I2C Isolator Enable",0,"OK",NA,NA,0.016065
"I2C Isolator Test",0,"PASS",PASS,PASS,0.478653
"Turtle Value Reading",0,"51597",37000,65500,0.086608
"TurtleGapCal_InitialCdcResult",0,"Pass",Pass,Pass,0.966551
"TurtleGapCal_InitialCdcValue",0,"51561",NA,NA,0.006885
"TurtleGapCal_Stage0AfeOffsetResult",0,"Pass",Pass,Pass,0.006072
"TurtleGapCal_Stage0AfeOffsetValue",0,"1",NA,NA,0.005902
"TurtleGapCal_FinalCdcValue",0,"47453",NA,NA,0.006380
"TurtleGapCal_SyscfgKeyWriteResult",0,"Pass",Pass,Pass,0.006229
"VA_Compass_CRC",0,"No need for CRC check",NA,NA,0.118241
"X582 Serial Number",0,"0097B1110031262F001DEFEBABEE77E6",NA,NA,0.233550
"Burn X582 Chip ID",0,"0x00000001 0x0097B111 0x0031262F 0x001DEFEB 0xABEE77E6",NA,NA,0.092764
"AOP GPIO MESA_TO_AOP_FDINT_Init",0,"0",0,0,0.433476
"AOP GPIO MESA_TO_AOP_FDINT_High",0,"1",1,1,0.082461
"AOP GPIO MESA_TO_AOP_FDINT_Low",0,"0",0,0,0.086028
"Mesa i2c read through AOP",0,"0x49",0x49,0x49,0.043027
"AOP_TO_MESA_MENU_CONN",0,"ON",NA,NA,0.249738
"Mesa Temperature",0,"29.50",10,50,0.222457
"Muon Fault Register",0,"0x00",0x00,0x00,0.075011
"Magnesium Register",0,"PASS",NA,NA,0.229706
"Boost IC Check",0,"0x20",0x20 0x21,0x20 0x21,0.043969
"Test_spec_ver",0,"D1x_Maggie_spec_ver002",NA,NA,18.076648
"Maggie_LuaFileRevision",0,"2",NA,NA,0.033838
"Maggie_MaggieInitialise",0,"0",0,0,0.034351
"Maggie_MaggieDeviceID",0,"0x47A0",0x47A0,0x47A0,0.034147
"Maggie_FirmwareVersion",0,"4",4,4,0.034602
"Maggie_ECONFirmwareVersion",0,"5",5,5,0.034768
"Maggie_SRAM_Blocks_Test",0,"0",0,0,0.033058
"Maggie_HW_MAC_Test",0,"0",0,0,0.033623
"Maggie_LFOscOffset",0,"2041",NA,NA,0.032896
"Maggie_HFOscOffset:Mean",0,"1",NA,NA,0.033710
"Maggie_HFOscOffset:Min",0,"1",NA,NA,0.034182
"Maggie_HFOscOffset:Max",0,"1",NA,NA,0.042549
"Maggie_HFOscOffset:Cnt",0,"10",NA,NA,0.033449
"Maggie_ExtRstToPLL_Lock",0,"101",NA,NA,0.033614
"Maggie_ExtClkToPLL_Lock",0,"0",NA,NA,0.037286
"MAGGIE_TO_HOMER_WAKE_test",0,"PASS",PASS,PASS,0.033307
"SPI_MAGGIE_TO_HOMER_POS_SLK_test",0,"PASS",PASS,PASS,0.033922
"SPI_MAGGIE_TO_HOMER_POS_MOSI_test",0,"PASS",PASS,PASS,0.034408
"SPI_HOMER_TO_MAGGIE_POS_MISO_test",0,"PASS",PASS,PASS,0.033991
"AOP_TO_MAGGIE_MENU_1_test",0,"PASS",PASS,PASS,0.033581
"AOP_TO_MAGGIE_MENU_2_test",0,"PASS",PASS,PASS,0.034220
"Homer_FW_ver",0,"62",NA,NA,0.034081
"Homer_I2C_TO_Schrodinger",0,"OK",OK,OK,0.034210
"HOMER_BOOTLOADER_ALIVE_test",0,"PASS",PASS,PASS,0.035174
"SWD_AP_BI_HOMER_SWDIO_test",0,"PASS",PASS,PASS,0.034601
"HOMER_TO_AOP_WAKE_INT_test",0,"PASS",PASS,PASS,0.035172
"Lifetime Max Temperature",0,"31.4",0,60,0.564742
"Burn Matrix and Special Builds",0,"D101/EVT-DOE/3RFSF1/00011/3K5PC/06119",NA,NA,0.127849
"Convoy Device ID Check",0,"0xCD",0xCD,0xCD,0.036520
"Stockholm Firmware Check",0,"0x1D0301A9",NA,NA,0.145444
"Read SEID",0,"041A4E835A38800160130110979374448865A6771C3834DC",NA,NA,0.863128
"Battery FW Version",0,"0x601",0x601,0x601,0.087627
"Battery Chem Id",0,"0x3695",0x3694 0x3695 0x3700 0x3697,0x3694 0x3695 0x3700 0x3697,0.079844
"Check The Checksnum of battery before flash",0,"0x52F4",0x7014 0x7926 0x773F 0x7A05 0x49D9 0x52F4 0x5124 0x53B3,0x7014 0x7926 0x773F 0x7A05 0x49D9 0x52F4 0x5124 0x53B3,2.728813
"Read MLB SN",0,"C7H6127002PGXJMD2",NA,NA,0.027798
"Read Nand Size",0,"0x1DCD650",NA,NA,0.021298
"Read Nand ID",0,"0x00004942AB14EEAD",NA,NA,0.107614
"Cal GasGauge",0,"Yes",Yes,Yes,0.208149
"Battery GG_Cycle Count",0,"0",0,5,0.042678
"Read Panel ID",0,"0x1197092A063444563644313454...*.4DV6D14T",NA,NA,0.084129
"Read Photon ID",0,"14 C8 0E 59 70 07 00 00 29 12 00 00 00           ...Yp...)....",NA,NA,0.073608
"Check LCM SN with SFC",0,"C3F6123E0R6H1NK51+L3204DVD14TAE1YS2+C01012624FF5BCF1F023+F61JJNE9S1261U2B3R5BN7",NA,NA,0.210022
"Check CG Color and HSG Color",0,"CG:Black HSG:BlackPAP",NA,NA,0.134127
"Upload Orb Flex SN",0,"F61JJNE9S1261U2B3R5BN7",NA,NA,0.070634
"Burn CGSp",0,"0x00000001 0x00000000 0x00000000 0x00000000",NA,NA,0.073736
"Compare MLB SN With SFC",0,"C7H6127002PGXJMD2",NA,NA,0.012619
"Compare NandSize Range With Local",0,"31250000",31000000,33000000,0.010036
"Check NandSize With SFC",0,"0x1DCD650_32G",NA,NA,0.004434
"Check Nand ID With SFC",0,"0x00004942AB14EEAD_HYNIX",NA,NA,0.011448
"Burn OrbG",0,"0x00027166 0x00000000 0x00000000 0x00000000 0x00000000 0x14141208 0x15151414 0x16161616 0x15151617 0x14141414 0x16161613 0x16161616 0x15171716 0x14151515 0x13141414 0x16161615 0x160C1717 0x17171515 0x15151617 0x14141415 0x17161612 0x17171615 0x15161515 0x14141415 0x15151617 0x15151615 0x14141415 0x14131515 0x00141414 0x000030D4 0x0000194E 0x390925F1 0x3E60404D 0x423C412F 0x3C7A3CC1 0x3E363B19 0x3E1D3EE1 0x4235401D 0x3D353D90 0x3F093D8A 0x3EA13FD1 0x42524045 0x3DF23E41 0x40033E73 0x400740A9 0x435A4263 0x3EBB3EFF 0x40C43F4C 0x41314146 0x434A427B 0x3FAA3FF4 0x41513FCC 0x42EC41A1 0x45E64587 0x40A140F8 0x40B04061 0x42E542FB 0x483544E1 0x41D14234 0x41D341A3 0x44784435 0x4836465F 0x43244374 0x430B4291 0x46A8431A 0x494947DF 0x43D044C3 0x42D3420A 0x446043CA 0x48DC46D3 0x4496461E 0x44454332 0x46E04553 0x4A284762 0x467C4378 0x45BB4506 0x468E4650 0x497045C0 0xFC80465B 0x058E2CAC 0xFA40F8A3 0xFE40F9C4 0x0088075F 0xF9CA00B9 0xF963F95C 0xF219F8AA 0xFBC5FBDC 0xF948FB43 0xF977F8CA 0xF203F83A 0xFB62FAD2 0xF94FFA3A 0xF8C5F43D 0xF214F2BF 0xFAE0FA50 0xF41EF9F4 0xF3C4F39E 0xF225F2F4 0xFA63F9DB 0xF3FEF991 0xF292F377 0xEC02EC91 0xF542F4D2 0xF4B0F51C 0xF27CF2A7 0xE652ED13 0xF497F3EB 0xF3F2F489 0xEDCAED85 0xE635ECC2 0xEFA6EF59 0xEF46F43F 0xEC12F331 0xE5AEE6C8 0xEEF5EE20 0xF397F3B5 0xEE2BEE95 0xE5EFE81B 0xEE80ED6B 0xEEA3EFB9 0xE8E1EE10 0xE5C0E7F2 0xE921EF0D 0xED84EDE3 0xE8F0ED33 0xE653ED0B 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x72000000",NA,NA,5.030788
"Burn MPN",0,"993-12880",NA,NA,0.074012
"Burn Regn",0,"LL/A",NA,NA,0.073127
"Burn DClr",0,"0x00000200 0x00B9B7BA 0x00272728 0x00000000",NA,NA,0.096148
"Burn CLCG",0,"0x00000001 0x00000000 0x00000000 0x00000001",NA,NA,0.087893
"Burn CLHS",0,"0x00000001 0x00000000 0x00000000 0x00000005",NA,NA,0.360011
"Compare Battery SN With SFC",0,"PASS",NA,NA,0.396375
"Burn Battery SN",0,"F5D61010X1NGR4V3W",NA,NA,0.072183
"Burn NoCl",0,"0x00000000 0x00000000 0x00000000 0x00000000",NA,NA,0.071623
"Burn PRSq",0,"0x02010001 0x00000000 0x00000000 0x00000000",NA,NA,0.070693
"Read Back CHIP ID",0,"8010",NA,NA,0.322092
"Burn LCM SN",0,"C3F6123E0R6H1NK51+L3204DVD14TAE1YS2+C01012624FF5BCF1F023+F61JJNE9S1261U2B3R5BN7",NA,NA,0.097965
"Burn Grape SN",0,"00860141932H0NN04251006231818146112605795513",NA,NA,0.078681
"DBCl Data",0,"5",NA,NA,2.816350
"DTCl Data",0,"2",NA,NA,0.008351
"LcmCal Test Result",0,"PASS",PASS,PASS,0.008637
"LCM Vendor Name",0,"PASS",NA,NA,0.067907
"Read Galileo SN",0,"6565516347BMT305PE1Y00105A",NA,NA,0.076793
"Read Galileo Data",0,"PASS",NA,NA,18.409292
"Burn MtCl",0,"0x0003284B 0x00200352 0x46334303 0x33323136 0x36523045 0x4B4E3148 0x002B3135 0xA5310000 0x0003284B 0x00000000 0x00000000 0x00000000 0xC5C5C7C8 0xC4C5C4C6 0xC8C6C6C6 0x89000000 0x87878788 0x87878788 0x00878788 0x73730000 0x73737273 0x73727273 0x00007373 0x46464600 0x46464646 0x46464646 0x00000046 0x3F3F3F3F 0x3F3F3F3F 0x3F3F3F3F 0x48000000 0x48484848 0x48484848 0x00484848 0x81800000 0x80808181 0x81808080 0x80818181 0x7F7E7F80 0x807F807F 0x00008080 0x81800000 0x80808081 0x80807F80 0x80808080 0x7E7E7F7F 0x7F7F7F7F 0x00008080 0x81800000 0x80808081 0x80808080 0x80808080 0x7F7E7F7F 0x8080807F 0x00008080 0x33360000 0x33333234 0x31333333 0x00003933 0x29292B00 0x29292829 0x29282929 0x0000002E 0x35353639 0x35343534 0x3A353435 0x00000000 0xFF120100 0x00000000 0x7F818283 0x817D747C 0x7C7B8082 0x6A000000 0x7E7E7E7E 0x7E7E7E7E 0x006C7E7E 0x83830000 0x83848483 0x84848684 0x80838384 0x7A7B7D81 0x72737778 0x00000000 0x84838484 0x87848484 0x84858586 0x7F818183 0x78797A7D 0x00007274 0x00000000 0x80830000 0x727B7C7F 0x7C80807B 0x0000797A 0x7D7D6B00 0x7D7D7D7D 0x7D7D7D7D 0x0000006B 0x84848484 0x87868484 0x84868687 0x7F818283 0x787A7B7D 0x00007275 0x83840000 0x83828283 0x86878684 0x81828385 0x7A7D7F80 0x71757779 0x00000000 0x00000000 0x7C7F7F80 0x807E727B 0x7A7A7C80 0x6A000000 0x7D7D7D7D 0x7D7D7D7D 0x006B7D7D 0x83830000 0x84848484 0x84858685 0x82838385 0x7A7B7D81 0x72747679 0x00000000 0x84848484 0x87858484 0x84868687 0x7F818283 0x77797B7D 0x00007375 0x00000000 0x00000000 0x02580258 0x00000258 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0xCFCFCFCF 0xCFCFCFCF 0xCFCFCFCF 0x89000000 0x89898989 0x89898989 0x00898989 0x72720000 0x72727272 0x72727272 0x00007272 0x49494900 0x49494949 0x49494949 0x00000049 0x3C3C3C3C 0x3C3C3C3C 0x3C3C3C3C 0x37000000 0x37373737 0x37373737 0x00373737 0x54540000 0x53535357 0x50545654 0x00005553 0x54535100 0x53525152 0x50505354 0x00000054 0x5B5C5D5D 0x5C5A5B59 0x5D5A595C 0x64000000 0x0A0A6464 0x8B00140A 0x00008B8B 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0x00000000 0xFFFFFFFF 0x0000C3FF",NA,NA,4.238224
"Burn GLCl",0,"0x00000100 0x4D0D3432 0x0D34D343 0x74DD374D 0xD0D34D37 0x70707000 0x0701C070 0x70701C07 0x01C1C1C0 0x07070707 0x07070707 0x1C1C1C07 0x7001C070 0x70007000 0x1C1C0700 0x1DDC71C7 0x4DD37777 0x00000003 0x00000000 0xD0D0D032 0x3434D0D0 0xDDDD374D 0x0374DDDD 0x1C07000D 0x001C0070 0x07007007 0xC01C0070 0x01C01C01 0x0700701C 0x001C0070 0x0000001C 0x00000000 0x00000070 0x0001C000 0xC0700700 0x0000000D 0x00000000 0x34000032 0x40D00D00 0xD374D343 0x40D374DD 0x70707003 0xC1C1C070 0xC1C1C1C1 0x01C1C1C1 0x701C0707 0xC01C01C0 0x00007001 0x4000001C 0x0D000003 0xD0003400 0xD0000000 0xD0340000 0x00000000 0x00000000",NA,NA,1.197633
"Burn DPCl",0,"0x00000001 0x00D09125 0x002EDC90 0x0000924B 0x00090284 0x00F6642B 0x00009951 0x0003E703 0x0012FD93 0x00E91B6B",NA,NA,0.334330
"Burn BLCl",0,"0x00000100 0x48A8121E 0x00000255 0x00000000",NA,NA,0.204897
"BLCl_Version",0,"0100",NA,NA,0.004074
"BLCl_1",0,"4638",NA,NA,0.004115
"BLCl_2",0,"18600",NA,NA,0.004659
"BLCl_3",0,"597",NA,NA,0.004619
"Check Sleep Enable Bit",0,"Sleep Enabled: Yes",Sleep Enabled: Yes,Sleep Enabled: Yes,1.891065
"AutoCal/Sleep Current",0,"8",8,8,0.005992
"GG Battery Type",0,"BQ27546",BQ27546,BQ27546,0.076188
"adc_vddout",0,"3809.6764",3400,4350,8.427463
"cpu_voltage",0,"588",NA,NA,0.011025
"soc_voltage",0,"719",NA,NA,0.011199
"gpu_voltage",0,"678",NA,NA,0.010290
"buck0_measured_value",0,"593.4981",PASS,PASS,0.017040
"buck1_measured_value",0,"688.5531",PASS,PASS,0.014577
"buck2_measured_value",0,"720.7875",PASS,PASS,0.017965
"buck3_measured_value",0,"1793.6507",PASS,PASS,0.014156
"buck4_measured_value",0,"1099.1758",PASS,PASS,0.013775
"buck5_measured_value",0,"901.7399",PASS,PASS,0.016094
"buck6_measured_value",0,"1266.3919",PASS,PASS,0.014676
"buck7_measured_value",0,"802.8388",PASS,PASS,0.013698
"buck8_measured_value",0,"802.1062",PASS,PASS,0.018345
"buck9_measured_value",0,"2489.0109",PASS,PASS,0.014160
"adc_buck3_min",0,"1786.3247",1693,1854,0.011926
"adc_buck3_max",0,"1799.7557",NA,NA,0.008920
"adc_buck3_mean",0,"1792.6068",NA,NA,0.010836
"adc_amuxa5_min",0,"1769.2307",1690,1854,0.009824
"adc_amuxa5_max",0,"1791.2087",NA,NA,0.008710
"adc_amuxa5_mean",0,"1778.4188",NA,NA,0.010851
"adc_buck3_to_amuxa5_delta_min",0,"17.0940",NA,80,0.006452
"adc_buck3_to_amuxa5_delta_mean",0,"14.1880",NA,80,0.008305
"adc_brick_id_usb_dm",0,"2693",2620,2820,0.009459
"adc_brick_id_usb_dp",0,"1999",1950,2100,0.010009
"adc_tcal",0,"3724.0537",3528,4312,0.009550
"adc_temp1_forehead",0,"9141.3246",3800,12800,0.009368
"adc_temp2_rear_camera",0,"8256.6802",3200,12800,0.009182
"adc_temp3_radio_pa",0,"8198.9860",4900,13300,0.009776
"adc_temp4_ap",0,"7218.1847",2000,12000,0.009451
"adc_temp5",0,"79265.4129",58000,94000,0.009841
"adc_temp_ldo5",0,"36.7521",15,70,0.007922
"adc_temp_ldo10",0,"36.6189",15,70,0.008815
"adc_temp_buck0",0,"35.8419",15,70,0.009268
"adc_temp_buck1",0,"35.7531",15,70,0.007832
"adc_temp_buck2",0,"35.8863",15,70,0.008800
"adc_temp_buck3",0,"35.7976",15,70,0.009038
"adc_temp_buck4",0,"35.8863",15,70,0.010875
"adc_temp_buck5",0,"35.9752",15,70,0.009387
"adc_temp_buck6",0,"35.7753",15,70,0.010337
"adc_temp_buck7",0,"36.2194",15,70,0.010861
"adc_temp_buck8",0,"35.7087",15,70,0.009633
"adc_temp_buck9",0,"35.7087",15,70,0.009666
"temp_hib_sw",0,"36.2415",15,70,0.008998
"adc_tjint",0,"36.0640",15,70,0.008918
"adc_ibuck0_pp_cpu_var",0,"15.3674",NA,NA,0.008999
"adc_ibuck1_pp_gpu_var",0,"0.0000",NA,NA,0.009777
"adc_ibuck2_pp_soc_var",0,"322.3849",NA,NA,0.007963
"adc_ibuck3_pp1v8_sdram",0,"60.7999",NA,NA,0.006860
"adc_ibuck4_pp1v1_sdram",0,"198.5550",NA,NA,0.009800
"adc_ibuck5_pp0v9_soc_fixed",0,"321.2799",NA,NA,0.009108
"adc_ibuck6_pp1v25_buck",0,"38.3999",NA,NA,0.008937
"adc_ibuck7_pp_cpu_sram_var",0,"0.0000",NA,NA,0.009179
"adc_ibuck8_pp_gpu_sram_var",0,"1.9200",NA,NA,0.008985
"adc_ibuck9_pp2v8_ut_af_var",0,"0.0000",NA,NA,0.008902
"adc_buck0_pp_cpu_var",0,"593.5897",NA,NA,0.008795
"adc_buck1_pp_gpu_var",0,"683.9743",NA,NA,0.008892
"adc_buck2_pp_soc_var",0,"720.4212",NA,NA,0.008797
"adc_buck3_pp1v8_sdram",0,"1791.5140",NA,NA,0.008636
"adc_buck4_pp1v1_sdram",0,"1099.3589",NA,NA,0.008782
"adc_buck5_pp0v9_soc_fixed",0,"900.9157",NA,NA,0.009347
"adc_buck6_pp1v25_buck",0,"1267.3076",NA,NA,0.007956
"adc_buck7_pp_cpu_sram",0,"802.8388",NA,NA,0.010627
"adc_buck8_pp_gpu_sram",0,"801.4652",NA,NA,0.007324
"adc_buck9_pp2v5_ut_af_var",0,"2489.6214",NA,NA,0.009078
"adc_buck3_sw1_pp1v8",0,"1793.6507",1690,1854,0.008876
"adc_buck3_sw2_PP1V8_TOUCH",0,"1789.0720",1690,1854,0.011732
"adc_buck3_sw3_PP1V8_MAGGIE_IMU",0,"1794.5665",1690,1854,0.010723
"adc_buck4_sw1_pp1v1",0,"1098.6263",NA,NA,0.009828
"adc_ldo1_pp3v3_usb",0,"3293.1472",3253.8,3346.2,0.008898
"adc_ldo2_pp1v8_va",0,"1800.9768",1755,1845,0.009296
"adc_ldo3_pp3v0_als_aps_convoy",0,"2987.9054",2925,3075,0.008843
"adc_ldo4_pp0v8_aop",0,"802.1062",780,820,0.007931
"adc_ldo5_pp3v0_nand",0,"2995.1159",2925,3075,0.008952
"adc_ldo6_pp3v3_acc_var",0,"0.4329",0,100,0.008733
"adc_ldo7_pp3v0_tristar_ant_prox",0,"2992.2351",2970,3030,0.009942
"adc_ldo8_pp2v9_nh_avdd",0,"2889.6219",2870,2930,0.008807
"adc_ldo9_pp1v8_hawking",0,"1798.5450",1775,1825,0.009874
"adc_ldo10_pp0v9_nand",0,"903.2967",873,927,0.009225
"adc_ldo11_nc",0,"0.0000",0,100,0.009072
"adc_ldo12_pp1v8_always",0,"1792.1245",1746,1854,0.008809
"adc_ldo13_pp3v0_mesa",0,"3005.2241",2970,3030,0.009263
"adc_ldo14_pp1v2_soc",0,"1202.5641",1164,1236,0.009223
"adc_ldo15_pp1v8_mesa",0,"1801.2820",1755,1845,0.008261
"adc_ldo16_nc",0,"0.0000",0,100,0.009074
"adc_ldo17_pp3v0_nc",0,"0.0000",0,100,0.007725
"adc_ldo18_pp1v2_ut_dvdd",0,"1203.7545",1164,1236,0.009719
"adc_ldo19_pp1v2_nh_nv_dvdd",0,"1202.2893",1164,1236,0.008835
"adc_vrtc",0,"1493.2844",1470,1530,0.008705
"adc_vbuf_1v2",0,"1200.8241",1176,1224,0.009694
"adc_ibuf_1v2",0,"0.0447",NA,NA,0.009138
"adc_ildo1_pp3v3_usb",0,"0.1527",-5,5,0.009234
